bulan,tahun,wisatawan,jumlah
januari ,2015 ,Wisatawan Nusantara ,16198
februari ,2015 ,Wisatawan Nusantara ,11446
maret ,2015 ,Wisatawan Nusantara ,16444
april ,2015 ,Wisatawan Nusantara ,30213
mei ,2015 ,Wisatawan Nusantara ,24977
juni ,2015 ,Wisatawan Nusantara ,19733
juli ,2015 ,Wisatawan Nusantara ,17323
agustus ,2015 ,Wisatawan Nusantara ,25262
september ,2015 ,Wisatawan Nusantara ,18767
oktober ,2015 ,Wisatawan Nusantara ,28592
november ,2015 ,Wisatawan Nusantara ,22662
desember ,2015 ,Wisatawan Nusantara ,21433
januari ,2015 ,Wisatawan Mancanegara ,1175
februari ,2015 ,Wisatawan Mancanegara ,948
maret ,2015 ,Wisatawan Mancanegara ,1189
april ,2015 ,Wisatawan Mancanegara ,1067
mei ,2015 ,Wisatawan Mancanegara ,1468
juni ,2015 ,Wisatawan Mancanegara ,998
juli ,2015 ,Wisatawan Mancanegara ,489
agustus ,2015 ,Wisatawan Mancanegara ,847
september ,2015 ,Wisatawan Mancanegara ,1170
oktober ,2015 ,Wisatawan Mancanegara ,1210
november ,2015 ,Wisatawan Mancanegara ,1001
desember ,2015 ,Wisatawan Mancanegara ,1577
