bulan,tahun,wisatawan,jumlah
januari ,2017 ,Wisatawan Nusantara ,15520
februari ,2017 ,Wisatawan Nusantara ,14627
maret ,2017 ,Wisatawan Nusantara ,19604
april ,2017 ,Wisatawan Nusantara ,21033
mei ,2017 ,Wisatawan Nusantara ,29911
juni ,2017 ,Wisatawan Nusantara ,17692
juli ,2017 ,Wisatawan Nusantara ,22568
agustus ,2017 ,Wisatawan Nusantara ,24710
september ,2017 ,Wisatawan Nusantara ,27195
oktober ,2017 ,Wisatawan Nusantara ,30050
november ,2017 ,Wisatawan Nusantara ,24388
desember ,2017 ,Wisatawan Nusantara ,24781
januari ,2017 ,Wisatawan Mancanegara ,1081
februari ,2017 ,Wisatawan Mancanegara ,1397
maret ,2017 ,Wisatawan Mancanegara ,1672
april ,2017 ,Wisatawan Mancanegara ,851
mei ,2017 ,Wisatawan Mancanegara ,2611
juni ,2017 ,Wisatawan Mancanegara ,803
juli ,2017 ,Wisatawan Mancanegara ,617
agustus ,2017 ,Wisatawan Mancanegara ,1699
september ,2017 ,Wisatawan Mancanegara ,1039
oktober ,2017 ,Wisatawan Mancanegara ,1187
november ,2017 ,Wisatawan Mancanegara ,2047
desember ,2017 ,Wisatawan Mancanegara ,1270
