bulan,tahun,wisatawan,jumlah
januari ,2018 ,Wisatawan Nusantara ,18820
februari ,2018 ,Wisatawan Nusantara ,19823
maret ,2018 ,Wisatawan Nusantara ,28583
april ,2018 ,Wisatawan Nusantara ,28146
mei ,2018 ,Wisatawan Nusantara ,27672
juni ,2018 ,Wisatawan Nusantara ,24221
juli ,2018 ,Wisatawan Nusantara ,31383
agustus ,2018 ,Wisatawan Nusantara ,41874
september ,2018 ,Wisatawan Nusantara ,38946
oktober ,2018 ,Wisatawan Nusantara ,38666
november ,2018 ,Wisatawan Nusantara ,36357
desember ,2018 ,Wisatawan Nusantara ,38012
januari ,2018 ,Wisatawan Mancanegara ,1126
februari ,2018 ,Wisatawan Mancanegara ,1860
maret ,2018 ,Wisatawan Mancanegara ,2017
april ,2018 ,Wisatawan Mancanegara ,2168
mei ,2018 ,Wisatawan Mancanegara ,1171
juni ,2018 ,Wisatawan Mancanegara ,861
juli ,2018 ,Wisatawan Mancanegara ,1786
agustus ,2018 ,Wisatawan Mancanegara ,2726
september ,2018 ,Wisatawan Mancanegara ,2009
oktober ,2018 ,Wisatawan Mancanegara ,1903
november ,2018 ,Wisatawan Mancanegara ,1486
desember ,2018 ,Wisatawan Mancanegara ,1784
