bulan,tahun,wisatawan,jumlah
januari ,2014 ,Wisatawan Nusantara ,14481
februari ,2014 ,Wisatawan Nusantara ,13692
maret ,2014 ,Wisatawan Nusantara ,16154
april ,2014 ,Wisatawan Nusantara ,15508
mei ,2014 ,Wisatawan Nusantara ,19306
juni ,2014 ,Wisatawan Nusantara ,16605
juli ,2014 ,Wisatawan Nusantara ,12328
agustus ,2014 ,Wisatawan Nusantara ,18955
september ,2014 ,Wisatawan Nusantara ,22076
oktober ,2014 ,Wisatawan Nusantara ,34412
november ,2014 ,Wisatawan Nusantara ,21527
desember ,2014 ,Wisatawan Nusantara ,19895
januari ,2014 ,Wisatawan Mancanegara ,508
februari ,2014 ,Wisatawan Mancanegara ,715
maret ,2014 ,Wisatawan Mancanegara ,905
april ,2014 ,Wisatawan Mancanegara ,810
mei ,2014 ,Wisatawan Mancanegara ,1111
juni ,2014 ,Wisatawan Mancanegara ,683
juli ,2014 ,Wisatawan Mancanegara ,581
agustus ,2014 ,Wisatawan Mancanegara ,1034
september ,2014 ,Wisatawan Mancanegara ,1253
oktober ,2014 ,Wisatawan Mancanegara ,1065
november ,2014 ,Wisatawan Mancanegara ,1205
desember ,2014 ,Wisatawan Mancanegara ,1233
